window_start,window_end,best_model,second_model,best_rmse,best_mae,best_r2,second_rmse,second_mae,second_r2,rmse_gap
2010-01-04,2010-05-12,KNeighborsTimeSeries,Hidden Markov Model,13.07310488860895,10.454761904761897,-0.27553716036115183,,,,
2010-05-13,2010-09-20,Random Forest,KNeighborsTimeSeries,136.41238059169405,129.69920454545453,-14.839779717211341,134.8364636580854,128.39772727272728,-14.475912625132782,1.575916933608653
2010-06-25,2010-11-01,Random Forest,KNeighborsTimeSeries,39.334064760652915,35.13190476190476,-1.7393823049127501,34.85882070512972,30.423809523809517,-1.1514951444616752,4.475244055523191
2010-08-09,2010-12-14,Random Forest,KNeighborsTimeSeries,63.33444126458856,61.73249999999999,-18.5372573206239,62.873180178151365,61.559523809523796,-18.25371616248633,0.4612610864371973
2010-12-15,2011-04-25,Random Forest,KNeighborsTimeSeries,35.356417923091044,30.86079545454546,-0.5491758546552064,30.660944583089293,26.475,-0.1650250469485257,4.695473340001751
2011-01-28,2011-06-07,KNeighborsTimeSeries,Random Forest,57.077001039114236,50.82380952380952,-0.44874099851589744,56.7936861115992,49.449285714285715,-0.43439436986396984,0.2833149275150362
2011-03-14,2011-07-20,Random Forest,KNeighborsTimeSeries,25.660824193611845,21.03454545454546,-2.452511761858241,25.81042777286308,19.181818181818183,-2.4928856597531834,-0.14960357925123446
2011-04-26,2011-08-31,Random Forest,KNeighborsTimeSeries,52.79381770714482,40.518095238095235,-0.47531133122395874,61.50724115326352,49.328571428571436,-1.0024885257938774,-8.713423446118703
2011-09-01,2012-01-10,KNeighborsTimeSeries,Random Forest,31.20100158648756,25.31190476190476,-2.3650817237129047,31.633117361210147,26.462738095238088,-2.458936028145249,-0.4321157747225861
2012-02-24,2012-07-02,Random Forest,KNeighborsTimeSeries,146.2108630662285,141.6795238095238,-29.883881929258028,147.7601370303848,144.31428571428572,-30.54185075047358,-1.5492739641562991
2012-04-09,2012-08-14,Random Forest,KNeighborsTimeSeries,131.6900543789144,107.7436904761905,-73.78076743025917,130.58395629960498,106.80238095238094,-72.52983785805431,1.1060980793094188
2012-05-21,2012-09-26,Random Forest,KNeighborsTimeSeries,93.71249772939477,85.46227272727272,-59.30724460859472,77.47249438583759,70.37045454545455,-40.216350833072475,16.240003343557177
2012-08-15,2012-12-24,KNeighborsTimeSeries,Hidden Markov Model,32.918803617065855,28.252631578947376,-2.581224006847592,,,,
2012-12-26,2013-05-06,KNeighborsTimeSeries,Hidden Markov Model,20.44966235604369,15.292857142857141,-0.06313336061958985,,,,
2013-02-08,2013-06-18,KNeighborsTimeSeries,Hidden Markov Model,60.92333003749173,38.75714285714286,-0.12870309345653963,,,,
