model,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,transition_accuracy,stability_index
RF,0.7471264367816092,0.7426066787523085,0.7469756757837007,0.7468696996457731,0.7405303030303031,0.48861480075901326,0.48429389365607767
KNN,0.5655172413793104,0.5468933951018662,0.5555601185194644,0.5844150680191089,0.5460690235690236,0.4316888045540797,0.43996697865182055
